# == pyFAI calibration ==
# Distance Sample to Detector: 0.10401047200818728 m
# PONI: 2.723e-01, 1.277e-01 m
# Rotations: -0.007054 -0.003206 0.000160 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 104.014 mm
# Center: x=746.682, y=1580.912 pix
# Tilt: 0.444 deg  TiltPlanRot: -24.440 deg
# 
# Detector Pilatus CdTe 2M	 PixelSize= 1.720e-04, 1.720e-04 m
#    Detector has a mask: True 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 3.5410000000000004e-11 m
# Mask applied: from detector
# Dark current applied: False
# Flat field applied: False
# Polarization factor: 0.99
# Normalization factor: 1.0
# --> C:/Users/au714043/OneDrive - Aarhus Universitet/Desktop/pyfai_notebook/npy/scan-0921_avg.dat
#        q_A^-1             I 
  4.047750e+00    2.119080e+03
  4.058250e+00    2.127449e+03
  4.068750e+00    2.116859e+03
  4.079250e+00    2.115336e+03
  4.089750e+00    2.119626e+03
  4.100250e+00    2.128663e+03
  4.110750e+00    2.130489e+03
  4.121250e+00    2.137428e+03
  4.131750e+00    2.164896e+03
  4.142250e+00    2.241304e+03
  4.152750e+00    2.402253e+03
  4.163250e+00    2.783761e+03
  4.173750e+00    3.484360e+03
  4.184250e+00    4.287938e+03
  4.194750e+00    5.429085e+03
  4.205250e+00    6.681530e+03
  4.215750e+00    8.227869e+03
  4.226250e+00    8.861375e+03
  4.236750e+00    9.242211e+03
  4.247250e+00    1.037795e+04
  4.257750e+00    1.147159e+04
  4.268250e+00    1.079996e+04
  4.278750e+00    1.121894e+04
  4.289250e+00    1.085407e+04
  4.299750e+00    1.040277e+04
  4.310250e+00    1.004420e+04
  4.320750e+00    9.270525e+03
  4.331250e+00    7.788871e+03
  4.341750e+00    6.579067e+03
  4.352250e+00    5.418609e+03
  4.362750e+00    4.163901e+03
  4.373250e+00    3.426004e+03
  4.383750e+00    2.959235e+03
  4.394250e+00    2.628569e+03
  4.404750e+00    2.801431e+03
  4.415250e+00    3.395666e+03
  4.425750e+00    4.418323e+03
  4.436250e+00    6.172757e+03
  4.446750e+00    8.647487e+03
  4.457250e+00    1.233197e+04
  4.467750e+00    1.589782e+04
  4.478250e+00    1.996430e+04
  4.488750e+00    2.277241e+04
  4.499250e+00    2.560667e+04
  4.509750e+00    2.690081e+04
  4.520250e+00    2.932234e+04
  4.530750e+00    2.866963e+04
  4.541250e+00    2.755340e+04
  4.551750e+00    2.736169e+04
  4.562250e+00    2.657897e+04
  4.572750e+00    2.507909e+04
  4.583250e+00    2.238531e+04
  4.593750e+00    1.813729e+04
  4.604250e+00    1.360126e+04
  4.614750e+00    1.001098e+04
  4.625250e+00    7.194820e+03
  4.635750e+00    5.346355e+03
  4.646250e+00    4.336483e+03
  4.656750e+00    3.590454e+03
  4.667250e+00    3.690229e+03
  4.677750e+00    4.749160e+03
  4.688250e+00    5.807776e+03
  4.698750e+00    8.299162e+03
  4.709250e+00    1.113853e+04
  4.719750e+00    1.388340e+04
  4.730250e+00    1.585179e+04
  4.740750e+00    1.874259e+04
  4.751250e+00    2.044512e+04
  4.761750e+00    2.047213e+04
  4.772250e+00    2.034257e+04
  4.782750e+00    1.989313e+04
  4.793250e+00    2.114099e+04
  4.803750e+00    1.890314e+04
  4.814250e+00    1.842883e+04
  4.824750e+00    1.672520e+04
  4.835250e+00    1.422105e+04
  4.845750e+00    1.160612e+04
  4.856250e+00    8.614093e+03
  4.866750e+00    6.283734e+03
  4.877250e+00    4.921428e+03
  4.887750e+00    3.997029e+03
  4.898250e+00    3.701162e+03
  4.908750e+00    3.734281e+03
  4.919250e+00    4.255828e+03
  4.929750e+00    5.537049e+03
  4.940250e+00    7.177860e+03
  4.950750e+00    8.657401e+03
  4.961250e+00    1.014832e+04
  4.971750e+00    1.189292e+04
  4.982250e+00    1.266277e+04
  4.992750e+00    1.390215e+04
  5.003250e+00    1.371016e+04
  5.013750e+00    1.380428e+04
  5.024250e+00    1.346440e+04
  5.034750e+00    1.321427e+04
  5.045250e+00    1.295108e+04
  5.055750e+00    1.165578e+04
  5.066250e+00    1.043723e+04
  5.076750e+00    8.340610e+03
  5.087250e+00    6.485906e+03
  5.097750e+00    4.976576e+03
  5.108250e+00    3.982249e+03
  5.118750e+00    3.314503e+03
  5.129250e+00    2.906414e+03
  5.139750e+00    2.719829e+03
  5.150250e+00    2.673918e+03
  5.160750e+00    2.934908e+03
  5.171250e+00    3.114070e+03
  5.181750e+00    3.406664e+03
  5.192250e+00    3.710197e+03
  5.202750e+00    3.860766e+03
  5.213250e+00    4.041670e+03
  5.223750e+00    4.233506e+03
  5.234250e+00    4.140854e+03
  5.244750e+00    4.100094e+03
  5.255250e+00    4.111115e+03
  5.265750e+00    3.941218e+03
  5.276250e+00    3.691901e+03
  5.286750e+00    3.534057e+03
  5.297250e+00    3.227565e+03
  5.307750e+00    2.918295e+03
  5.318250e+00    2.830678e+03
  5.328750e+00    2.750042e+03
  5.339250e+00    3.002866e+03
  5.349750e+00    3.156034e+03
  5.360250e+00    3.708610e+03
  5.370750e+00    4.579723e+03
  5.381250e+00    5.314237e+03
  5.391750e+00    6.895737e+03
  5.402250e+00    7.616202e+03
  5.412750e+00    8.143476e+03
  5.423250e+00    9.155612e+03
  5.433750e+00    9.194259e+03
  5.444250e+00    9.681026e+03
  5.454750e+00    9.259361e+03
  5.465250e+00    9.015372e+03
  5.475750e+00    8.351319e+03
  5.486250e+00    7.897312e+03
  5.496750e+00    7.271382e+03
  5.507250e+00    6.236452e+03
  5.517750e+00    5.236212e+03
  5.528250e+00    4.515817e+03
  5.538750e+00    4.275098e+03
  5.549250e+00    4.326141e+03
  5.559750e+00    5.018470e+03
  5.570250e+00    6.172155e+03
  5.580750e+00    7.821315e+03
  5.591250e+00    9.856461e+03
  5.601750e+00    1.239344e+04
  5.612250e+00    1.365037e+04
  5.622750e+00    1.525223e+04
  5.633250e+00    1.598563e+04
  5.643750e+00    1.632153e+04
  5.654250e+00    1.668233e+04
  5.664750e+00    1.663379e+04
  5.675250e+00    1.618862e+04
  5.685750e+00    1.549318e+04
  5.696250e+00    1.350540e+04
  5.706750e+00    1.215164e+04
  5.717250e+00    9.869591e+03
  5.727750e+00    6.964900e+03
  5.738250e+00    5.726399e+03
  5.748750e+00    4.341255e+03
  5.759250e+00    3.484467e+03
  5.769750e+00    2.984202e+03
  5.780250e+00    2.485335e+03
  5.790750e+00    2.283083e+03
  5.801250e+00    2.176078e+03
  5.811750e+00    2.137072e+03
  5.822250e+00    2.130904e+03
  5.832750e+00    2.127540e+03
  5.843250e+00    2.117526e+03
  5.853750e+00    2.117157e+03
  5.864250e+00    2.113679e+03
  5.874750e+00    2.106293e+03
  5.885250e+00    2.103907e+03
  5.895750e+00    2.106724e+03
  5.906250e+00    2.114261e+03
  5.916750e+00    2.148597e+03
  5.927250e+00    2.209720e+03
  5.937750e+00    2.351914e+03
  5.948250e+00    2.416768e+03
  5.958750e+00    2.743910e+03
  5.969250e+00    3.124519e+03
  5.979750e+00    3.111466e+03
  5.990250e+00    3.474148e+03
  6.000750e+00    3.825274e+03
  6.011250e+00    3.985021e+03
  6.021750e+00    4.219480e+03
  6.032250e+00    4.353398e+03
  6.042750e+00    4.477419e+03
  6.053250e+00    4.286234e+03
  6.063750e+00    4.457396e+03
  6.074250e+00    4.231997e+03
  6.084750e+00    3.955234e+03
  6.095250e+00    3.831809e+03
