File_name   Scan_number     r_wp  scale_total scale_LFP    lp1_a       lp1_b       lp1_c       rbragg_1     wp_1     lp2_a        lp2_b        lp2_c        rbragg_2     wp_2
scan-0116_TT_00087.xy  00087      5.97391 0.000000069870     0.17568    10.33227     6.01046     4.69775     3.84219    19.20517     9.84390     5.80492     4.78798     2.59944    80.79483
scan-0116_TT_00088.xy  00088      6.00545 0.000000069769     0.17291    10.33218     6.01003     4.69760     3.25415    18.90734     9.84379     5.80494     4.78802     2.43883    81.09266
scan-0116_TT_00089.xy  00089      5.96708 0.000000069024     0.16558    10.33211     6.01007     4.69757     2.83586    18.12010     9.84381     5.80497     4.78793     2.59137    81.87990
scan-0116_TT_00090.xy  00090      5.97833 0.000000067895     0.15516    10.33245     6.01001     4.69769     2.93710    17.00129     9.84374     5.80504     4.78791     2.51419    82.99871
scan-0116_TT_00091.xy  00091      6.10445 0.000000068060     0.14068    10.33238     6.01008     4.69756     3.34662    15.43932     9.84369     5.80497     4.78798     2.62568    84.56068
scan-0116_TT_00092.xy  00092      5.95365 0.000000068449     0.13695    10.33307     6.01044     4.69759     3.04908    15.03828     9.84349     5.80498     4.78796     2.82252    84.96172
scan-0116_TT_00093.xy  00093      6.04034 0.000000068204     0.13395    10.33218     6.00984     4.69767     2.96466    14.71172     9.84354     5.80491     4.78799     2.71477    85.28828
scan-0116_TT_00094.xy  00094      6.04261 0.000000067235     0.11948    10.33142     6.01014     4.69748     3.14547    13.14386     9.84357     5.80487     4.78790     2.76013    86.85614
scan-0116_TT_00095.xy  00095      5.98832 0.000000066696     0.11198    10.33059     6.01006     4.69797     3.39875    12.32903     9.84353     5.80486     4.78790     2.38691    87.67097
scan-0116_TT_00096.xy  00096      5.77395 0.000000057493     0.09799    10.33090     6.01038     4.69734     3.03281    10.80625     9.84325     5.80474     4.78789     2.60673    89.19375
scan-0116_TT_00097.xy  00097      5.27516 0.000000034155     0.07842    10.33009     6.00979     4.69658     2.76267     8.66484     9.84345     5.80466     4.78788     2.45010    91.33516
scan-0116_TT_00098.xy  00098      4.96193 0.000000011940     0.10973    10.32910     6.00850     4.69568     1.79679    12.07544     9.84439     5.80466     4.78779     2.42632    87.92456
scan-0116_TT_00099.xy  00099      5.88820 0.000000002906     0.29553    10.32850     5.99291     4.71207     3.28902    31.87065     9.84621     5.80391     4.78762     3.93251    68.12935
scan-0116_TT_00100.xy  00100      5.61173 0.000000000907     0.82582    10.37956     5.97321     4.74140     3.16145    84.19406     9.86009     5.79905     4.78654     4.41093    15.80594
scan-0116_TT_00101.xy  00101      6.17846 0.000000000508     0.84505    10.34298     5.99638     4.68233     3.64835    85.75220     9.86231     5.84829     4.77243     4.91438    14.24780
scan-0116_TT_00102.xy  00102      5.29930 0.000000000585     0.79775    10.34989     5.97942     4.71835     3.10827    81.48950     9.87881     5.79822     4.77765     3.72006    18.51050
scan-0116_TT_00103.xy  00103      6.28039 0.000000000752     0.95486    10.33216     5.99795     4.71902     3.66987    95.92464     9.94838     5.84896     4.72514     4.28231     4.07536
scan-0116_TT_00104.xy  00104      5.87916 0.000000000389     0.87081    10.32638     5.98437     4.71192     3.44995    88.24281     9.87209     5.79929     4.77809     4.81245    11.75719
scan-0116_TT_00105.xy  00105      5.71553 0.000000000586     1.36650    10.30452     5.97675     4.71292     3.55593   132.13471     9.77789     5.93436     4.74462   100.00000   -32.13471
